loja,despesa
Eletrônicos,640
Livraria,250
Restaurante,330
Supermercado,350
Farmácia,210
Roupas,500
Eletrônicos,650
Livraria,260
Restaurante,340
Supermercado,360
Farmácia,220
Roupas,510
Eletrônicos,660
Livraria,270
Restaurante,350
Supermercado,370
Farmácia,230
Roupas,520
Eletrônicos,670
Livraria,280
Restaurante,360
Supermercado,380
Farmácia,240
Roupas,530
Eletrônicos,680
Livraria,290
Restaurante,370
Supermercado,390
Farmácia,250
Roupas,540
Eletrônicos,690
Livraria,300
Restaurante,380
Supermercado,400
Farmácia,260
Roupas,550
Eletrônicos,700
Livraria,310
Restaurante,390
Supermercado,410
Farmácia,270
Roupas,560
Eletrônicos,710
Livraria,320
Restaurante,400
Supermercado,420
Farmácia,280
Roupas,570
Eletrônicos,720
Livraria,330
Restaurante,410
Supermercado,430
Farmácia,290
Roupas,580
Eletrônicos,730
Livraria,340
Restaurante,420
Supermercado,440
Farmácia,300
Roupas,590
Eletrônicos,740
Livraria,350
Restaurante,430
Supermercado,450
Farmácia,310
Roupas,600
Eletrônicos,750
Livraria,360
Restaurante,440
Supermercado,460
Farmácia,320
Roupas,610
Eletrônicos,760
Livraria,370
Restaurante,450
Supermercado,470
Farmácia,330
Roupas,620
Eletrônicos,770
Livraria,380
Restaurante,460
Supermercado,480
Farmácia,340
Roupas,630
Eletrônicos,780
Livraria,390
Restaurante,470
Supermercado,490
Farmácia,350
Roupas,640
Eletrônicos,790
Livraria,400
Restaurante,480
Supermercado,500
Farmácia,360
Roupas,650
Eletrônicos,800
Livraria,410
Restaurante,490
Supermercado,510
Farmácia,370
Roupas,660
Eletrônicos,810
Livraria,420
Restaurante,500
Supermercado,520
Farmácia,380
Roupas,670
Eletrônicos,820
Livraria,430
Restaurante,510
Supermercado,530
Farmácia,390
Roupas,680
Eletrônicos,830
Livraria,440
Restaurante,520
Supermercado,540
Farmácia,400
Roupas,690
Eletrônicos,840
Livraria,450
Restaurante,530
Supermercado,550
Farmácia,410
Roupas,700
Eletrônicos,850
Livraria,460
Restaurante,540
Supermercado,560
Farmácia,420
Roupas,710
Eletrônicos,860
Livraria,470
Restaurante,550
Supermercado,570
Farmácia,430
Roupas,720
Eletrônicos,870
Livraria,480
Restaurante,560
Supermercado,580
Farmácia,440
Roupas,730
Eletrônicos,880
Livraria,490
Restaurante,570
Supermercado,590
Farmácia,450
Roupas,740
Eletrônicos,890
Livraria,500
Restaurante,580
Supermercado,600
Farmácia,460
Roupas,750
Eletrônicos,900
Livraria,510
Restaurante,590
Supermercado,610
Farmácia,470
Roupas,760
Eletrônicos,910
Livraria,520
Restaurante,600
Supermercado,620
Farmácia,480
Roupas,770
Eletrônicos,920
Livraria,530
Restaurante,610
Supermercado,630
Farmácia,490
Roupas,780
Eletrônicos,930
Livraria,540
Restaurante,620
Supermercado,640
Farmácia,500
Roupas,790
Eletrônicos,940
Livraria,550
Restaurante,630
Supermercado,650
Farmácia,510
Roupas,800
Eletrônicos,950
Livraria,560
Restaurante,640
Supermercado,660
Farmácia,520
Roupas,810
Eletrônicos,960
Livraria,570
Restaurante,650
Supermercado,670
Farmácia,530
Roupas,820
Eletrônicos,970
Livraria,580
Restaurante,660
Supermercado,680
Farmácia,540
Roupas,830
Eletrônicos,980
Livraria,590
Restaurante,670
Supermercado,690
Farmácia,550
Roupas,840
Eletrônicos,990
Livraria,600
Restaurante,680
Supermercado,700
Farmácia,560
Roupas,850
Eletrônicos,1000
Livraria,610
Restaurante,690
Supermercado,710
Farmácia,570
Roupas,860
Eletrônicos,1010
Livraria,620
Restaurante,700
Supermercado,720
Farmácia,580
Roupas,870
Eletrônicos,1020
Livraria,630
Restaurante,710
Supermercado,730
Farmácia,590
Roupas,880
Eletrônicos,1030
Livraria,640
Restaurante,720
Supermercado,740
Farmácia,600
Roupas,890
Eletrônicos,1040
Livraria,650
Restaurante,730
Supermercado,750
Farmácia,610
Roupas,900
Eletrônicos,1050
Livraria,660
Restaurante,740
Supermercado,760
Farmácia,620
Roupas,910
Eletrônicos,1060
Livraria,670
Restaurante,750
Supermercado,770
Farmácia,630
Roupas,920
Eletrônicos,1070
Livraria,680
Restaurante,760
Supermercado,780
Farmácia,640
Roupas,930
Eletrônicos,1080
Livraria,690
Restaurante,770
Supermercado,790
Farmácia,650
Roupas,940
Eletrônicos,1090
Livraria,700
Restaurante,780
Supermercado,800
Farmácia,660
Roupas,950
Eletrônicos,1100
Livraria,710
Restaurante,790
Supermercado,810
Farmácia,670
Roupas,960
Eletrônicos,1110
Livraria,720
Restaurante,800
Supermercado,820
Farmácia,680
Roupas,970
Eletrônicos,1120
Livraria,730
Restaurante,810
Supermercado,830
Farmácia,690
Roupas,980
Eletrônicos,1130
Livraria,740
Restaurante,820
Supermercado,840
Farmácia,700
Roupas,990
Eletrônicos,1140
Livraria,750
Restaurante,830
Supermercado,850
Farmácia,710
Roupas,1000
Eletrônicos,1150
Livraria,760
Restaurante,840
Supermercado,860
Farmácia,720
Roupas,1010
Eletrônicos,1160
Livraria,770
Restaurante,850
Supermercado,870
Farmácia,730
Roupas,1020
Eletrônicos,1170
Livraria,780
Restaurante,860
Supermercado,880
Farmácia,740
Roupas,1030
Eletrônicos,1180
Livraria,790
Restaurante,870
Supermercado,890
Farmácia,750
Roupas,1040
Eletrônicos,1190
Livraria,800
Restaurante,880
Supermercado,900
Farmácia,760
Roupas,1050
Eletrônicos,1200
Livraria,810
Restaurante,890
Supermercado,910
Farmácia,770
Roupas,1060
Eletrônicos,1210
Livraria,820
Restaurante,900
Supermercado,920
Farmácia,780
Roupas,1070
Eletrônicos,1220
Livraria,830
Restaurante,910
Supermercado,930
Farmácia,790
Roupas,1080
Eletrônicos,1230
Livraria,840
Restaurante,920
Supermercado,940
Farmácia,800
Roupas,1090
Eletrônicos,1240
Livraria,850
Restaurante,930
Supermercado,950
Farmácia,810
Roupas,1100
Eletrônicos,1250
Livraria,860
Restaurante,940
Supermercado,960
Farmácia,820
Roupas,1110
Eletrônicos,1260
Livraria,870
Restaurante,950
Supermercado,970
Farmácia,830
Roupas,1120
Eletrônicos,1270
Livraria,880
Restaurante,960
Supermercado,980
Farmácia,840
Roupas,1130
Eletrônicos,1280
Livraria,890
Restaurante,970
Supermercado,990
Farmácia,850
Roupas,1140
Eletrônicos,1290
Livraria,900
Restaurante,980
Supermercado,1000
Farmácia,860
Roupas,1150
Eletrônicos,1300
Livraria,910
Restaurante,990
Supermercado,1010
Farmácia,870
Roupas,1160
Eletrônicos,1310
Livraria,920
Restaurante,1000
Supermercado,1020
Farmácia,880
Roupas,1170
Eletrônicos,1320
Livraria,930
Restaurante,1010
Supermercado,1030
Farmácia,890
Roupas,1180
Eletrônicos,1330
Livraria,940
Restaurante,1020
Supermercado,1040
Farmácia,900
Roupas,1190
Eletrônicos,1340
Livraria,950
Restaurante,1030
Supermercado,1050
Farmácia,910
Roupas,1200
Eletrônicos,1350
Livraria,960
Restaurante,1040
Supermercado,1060
Farmácia,920
Roupas,1210
Eletrônicos,1360
Livraria,970
Restaurante,1050
Supermercado,1070
Farmácia,930
Roupas,1220
Eletrônicos,1370
Livraria,980
Restaurante,1060
Supermercado,1080
Farmácia,940
Roupas,1230
Eletrônicos,1380
Livraria,990
Restaurante,1070
Supermercado,1090
Farmácia,950
Roupas,1240
Eletrônicos,1390
Livraria,1000
Restaurante,1080
Supermercado,1100
Farmácia,960
Roupas,1250
Eletrônicos,1400
Livraria,1010
Restaurante,1090
Supermercado,1110
Farmácia,970
Roupas,1260
Eletrônicos,1410
Livraria,1020
Restaurante,1100
Supermercado,1120
Farmácia,980
Roupas,1270
Eletrônicos,1420
Livraria,1030
Restaurante,1110
Supermercado,1130
Farmácia,990
Roupas,1280
Eletrônicos,1430
Livraria,1040
Restaurante,1120
Supermercado,1140
Farmácia,1000
Roupas,1290
Eletrônicos,1440
Livraria,1050
Restaurante,1130
Supermercado,1150
Farmácia,1010
Roupas,1300
Eletrônicos,1450
Livraria,1060
Restaurante,1140
Supermercado,1160
Farmácia,1020
Roupas,1310
Eletrônicos,1460
Livraria,1070
Restaurante,1150
Supermercado,1170
Farmácia,1030
Roupas,1320
Eletrônicos,1470
Livraria,1080
Restaurante,1160
Supermercado,1180
Farmácia,1040
Roupas,1330
Eletrônicos,1480
Livraria,1090
Restaurante,1170
Supermercado,1190
Farmácia,1050
Roupas,1340
Eletrônicos,1490
Livraria,1100
Restaurante,1180
Supermercado,1200
Farmácia,1060
Roupas,1350
Eletrônicos,1500
Livraria,1110
Restaurante,1190
Supermercado,1210
Farmácia,1070
Roupas,1360
Eletrônicos,1510
Livraria,1120
Restaurante,1200
Supermercado,1220
Farmácia,1080
Roupas,1370
Eletrônicos,1520
Livraria,1130
Restaurante,1210
Supermercado,1230
Farmácia,1090
Roupas,1380
Eletrônicos,1530
Livraria,1140
Restaurante,1220
Supermercado,1240
Farmácia,1100
Roupas,1390
Eletrônicos,1540
Livraria,1150
Restaurante,1230
Supermercado,1250
Farmácia,1110
Roupas,1400
Eletrônicos,1550
Livraria,1160
Restaurante,1240
Supermercado,1260
Farmácia,1120
Roupas,1410
Eletrônicos,1560
Livraria,1170
Restaurante,1250
Supermercado,1270
Farmácia,1130
Roupas,1420
Eletrônicos,1570
Livraria,1180
Restaurante,1260
Supermercado,1280
Farmácia,1140
Roupas,1430
Eletrônicos,1580
Livraria,1190
Restaurante,1270
Supermercado,1290
Farmácia,1150
Roupas,1440
Eletrônicos,1590
Livraria,1200
Restaurante,1280
Supermercado,1300
Farmácia,1160
Roupas,1450
Eletrônicos,1600
Livraria,1210
Restaurante,1290
Supermercado,1310
Farmácia,1170
Roupas,1460
Eletrônicos,1610
Livraria,1220
Restaurante,1300
Supermercado,1320
Farmácia,1180
Roupas,1470
Eletrônicos,1620
Livraria,1230
Restaurante,1310
Supermercado,1330
Farmácia,1190
Roupas,1480
Eletrônicos,1630
Livraria,1240
Restaurante,1320
Supermercado,1340
Farmácia,1200
Roupas,1490
Eletrônicos,1640
Livraria,1250
Restaurante,1330
Supermercado,1350
Farmácia,1210
Roupas,1500
Eletrônicos,1650
Livraria,1260
Restaurante,1340
Supermercado,1360
Farmácia,1220
Roupas,1510
Eletrônicos,1660
Livraria,1270
Restaurante,1350
Supermercado,1370
Farmácia,1230
Roupas,1520
Eletrônicos,1670
Livraria,1280
Restaurante,1360
Supermercado,1380
Farmácia,1240
Roupas,1530
Eletrônicos,1680
Livraria,1290
Restaurante,1370
Supermercado,1390
Farmácia,1250
Roupas,1540
Eletrônicos,1690
Livraria,1300
Restaurante,1380
Supermercado,1400
Farmácia,1260
Roupas,1550
Eletrônicos,1700
Livraria,1310
Restaurante,1390
Supermercado,1410
Farmácia,1270
Roupas,1560
Eletrônicos,1710
Livraria,1320
Restaurante,1400
Supermercado,1420
Farmácia,1280
Roupas,1570
Eletrônicos,1720
Livraria,1330
Restaurante,1410
Supermercado,1430
Farmácia,1290
Roupas,1580
Eletrônicos,1730
Livraria,1340
Restaurante,1420
Supermercado,1440
Farmácia,1300
Roupas,1590
Eletrônicos,1740
Livraria,1350
Restaurante,1430
Supermercado,1450
Farmácia,1310
Roupas,1600
Eletrônicos,1750
Livraria,1360
Restaurante,1440
Supermercado,1460
Farmácia,1320
Roupas,1610
Eletrônicos,1760
Livraria,1370
Restaurante,1450
Supermercado,1470
Farmácia,1330
Roupas,1620
Eletrônicos,1770
Livraria,1380
Restaurante,1460
Supermercado,1480
Farmácia,1340
Roupas,1630
Eletrônicos,1780
Livraria,1390
Restaurante,1470
Supermercado,1490
Farmácia,1350
Roupas,1640
Eletrônicos,1790
Livraria,1400
Restaurante,1480
Supermercado,1500
Farmácia,1360
Roupas,1650
Eletrônicos,1800
Livraria,1410
Restaurante,1490
Supermercado,1510
Farmácia,1370
Roupas,1660
Eletrônicos,1810
Livraria,1420
Restaurante,1500
Supermercado,1520
Farmácia,1380
Roupas,1670
Eletrônicos,1820
Livraria,1430
Restaurante,1510
Supermercado,1530
Farmácia,1390
Roupas,1680
Eletrônicos,1830
Livraria,1440
Restaurante,1520
Supermercado,1540
Farmácia,1400
Roupas,1690
Eletrônicos,1840
Livraria,1450
Restaurante,1530
Supermercado,1550
Farmácia,1410
Roupas,1700
Eletrônicos,1850
Livraria,1460
Restaurante,1540
Supermercado,1560
Farmácia,1420
Roupas,1710
Eletrônicos,1860
Livraria,1470
Restaurante,1550
Supermercado,1570
Farmácia,1430
Roupas,1720
Eletrônicos,1870
Livraria,1480
Restaurante,1560
Supermercado,1580
Farmácia,1440
Roupas,1730
Eletrônicos,1880
Livraria,1490
Restaurante,1570
Supermercado,1590
Farmácia,1450
Roupas,1740
Eletrônicos,1890
Livraria,1500
Restaurante,1580
Supermercado,1600
Farmácia,1460
Roupas,1750
Eletrônicos,1900
Livraria,1510
Restaurante,1590
Supermercado,1610
Farmácia,1470
Roupas,1760
Eletrônicos,1910
Livraria,1520
Restaurante,1600
Supermercado,1620
Farmácia,1480
Roupas,1770
Eletrônicos,1920
Livraria,1530
Restaurante,1610
Supermercado,1630
Farmácia,1490
Roupas,1780
Eletrônicos,1930
Livraria,1540
Restaurante,1620
Supermercado,1640
Farmácia,1500
Roupas,1790
Eletrônicos,1940
Livraria,1550
Restaurante,1630
Supermercado,1650
Farmácia,1510
Roupas,1800
Eletrônicos,1950
Livraria,1560
Restaurante,1640
Supermercado,1660
Farmácia,1520
Roupas,1810
Eletrônicos,1960
Livraria,1570
Restaurante,1650
Supermercado,1670
Farmácia,1530
Roupas,1820
Eletrônicos,1970
Livraria,1580
Restaurante,1660
Supermercado,1680
Farmácia,1540
Roupas,1830
Eletrônicos,1980
Livraria,1590
Restaurante,1670
Supermercado,1690
Farmácia,1550
Roupas,1840
Eletrônicos,1990
