loja,despesa
Eletrônicos,640
Livraria,250
Restaurante,330
Supermercado,350
Farmácia,210
Roupas,500
Eletrônicos,650
Livraria,260
Restaurante,340
Supermercado,360
Farmácia,220
Roupas,510
Eletrônicos,660
Livraria,270
Restaurante,350
Supermercado,370
Farmácia,230
Roupas,520
Eletrônicos,670
Livraria,280
Restaurante,360
Supermercado,380
Farmácia,240
Roupas,530
Eletrônicos,680
Livraria,290
Restaurante,370
Supermercado,390
Farmácia,250
Roupas,540
Eletrônicos,690
Livraria,300
Restaurante,380
Supermercado,400
Farmácia,260
Roupas,550
Eletrônicos,700
Livraria,310
Restaurante,390
Supermercado,410
Farmácia,270
Roupas,560
Eletrônicos,710
Livraria,320
Restaurante,400
Supermercado,420
Farmácia,280
Roupas,570
Eletrônicos,720
Livraria,330
Restaurante,410
Supermercado,430
Farmácia,290
Roupas,580
Eletrônicos,730
Livraria,340
Restaurante,420
Supermercado,440
Farmácia,300
Roupas,590
Eletrônicos,740
Livraria,350
Restaurante,430
Supermercado,450
Farmácia,310
Roupas,600
Eletrônicos,750
Livraria,360
Restaurante,440
Supermercado,460
Farmácia,320
Roupas,610
Eletrônicos,760
Livraria,370
Restaurante,450
Supermercado,470
Farmácia,330
Roupas,620
Eletrônicos,770
Livraria,380
Restaurante,460
Supermercado,480
Farmácia,340
Roupas,630
Eletrônicos,780
Livraria,390
Restaurante,470
Supermercado,490
Farmácia,350
Roupas,640
Eletrônicos,790
Livraria,400
Restaurante,480
Supermercado,500
Farmácia,360
Roupas,650
Eletrônicos,800
Livraria,410
Restaurante,490
Supermercado,510
Farmácia,370
Roupas,660
Eletrônicos,810
Livraria,420
Restaurante,500
Supermercado,520
Farmácia,380
Roupas,670
Eletrônicos,820
Livraria,430
Restaurante,510
Supermercado,530
Farmácia,390
Roupas,680
Eletrônicos,830
Livraria,440
Restaurante,520
Supermercado,540
Farmácia,400
Roupas,690
Eletrônicos,840
Livraria,450
Restaurante,530
Supermercado,550
Farmácia,410
Roupas,700
Eletrônicos,850
Livraria,460
Restaurante,540
Supermercado,560
Farmácia,420
Roupas,710
Eletrônicos,860
Livraria,470
Restaurante,550
Supermercado,570
Farmácia,430
Roupas,720
Eletrônicos,870
Livraria,480
Restaurante,560
Supermercado,580
Farmácia,440
Roupas,730
Eletrônicos,880
Livraria,490
Restaurante,570
Supermercado,590
Farmácia,450
Roupas,740
Eletrônicos,890
Livraria,500
Restaurante,580
Supermercado,600
Farmácia,460
Roupas,750
Eletrônicos,900
Livraria,510
Restaurante,590
Supermercado,610
Farmácia,470
Roupas,760
Eletrônicos,910
Livraria,520
Restaurante,600
Supermercado,620
Farmácia,480
Roupas,770
Eletrônicos,920
Livraria,530
Restaurante,610
Supermercado,630
Farmácia,490
Roupas,780
Eletrônicos,930
Livraria,540
Restaurante,620
Supermercado,640
Farmácia,500
Roupas,790
Eletrônicos,940
Livraria,550
Restaurante,630
Supermercado,650
Farmácia,510
Roupas,800
Eletrônicos,950
Livraria,560
Restaurante,640
Supermercado,660
Farmácia,520
Roupas,810
Eletrônicos,960
Livraria,570
Restaurante,650
Supermercado,670
Farmácia,530
Roupas,820
Eletrônicos,970
Livraria,580
Restaurante,660
Supermercado,680
Farmácia,540
Roupas,830
Eletrônicos,980
Livraria,590
Restaurante,670
Supermercado,690
Farmácia,550
Roupas,840
Eletrônicos,990
Livraria,600
Restaurante,680
Supermercado,700
Farmácia,560
Roupas,850
Eletrônicos,1000
Livraria,610
Restaurante,690
Supermercado,710
Farmácia,570
Roupas,860
Eletrônicos,1010
Livraria,620
Restaurante,700
Supermercado,720
Farmácia,580
Roupas,870
Eletrônicos,1020
Livraria,630
Restaurante,710
Supermercado,730
Farmácia,590
Roupas,880
Eletrônicos,1030
Livraria,640
Restaurante,720
Supermercado,740
Farmácia,600
Roupas,890
Eletrônicos,1040
Livraria,650
Restaurante,730
Supermercado,750
Farmácia,610
Roupas,900
Eletrônicos,1050
Livraria,660
Restaurante,740
Supermercado,760
Farmácia,620
Roupas,910
Eletrônicos,1060
Livraria,670
Restaurante,750
Supermercado,770
Farmácia,630
Roupas,920
Eletrônicos,1070
Livraria,680
Restaurante,760
Supermercado,780
Farmácia,640
Roupas,930
Eletrônicos,1080
Livraria,690
Restaurante,770
Supermercado,790
Farmácia,650
Roupas,940
Eletrônicos,1090
Livraria,700
Restaurante,780
Supermercado,800
Farmácia,660
Roupas,950
Eletrônicos,1100
Livraria,710
Restaurante,790
Supermercado,810
Farmácia,670
Roupas,960
Eletrônicos,1110
Livraria,720
Restaurante,800
Supermercado,820
Farmácia,680
Roupas,970
Eletrônicos,1120
Livraria,730
Restaurante,810
Supermercado,830
Farmácia,690
Roupas,980
Eletrônicos,1130
Livraria,740
Restaurante,820
Supermercado,840
Farmácia,700
Roupas,990
Eletrônicos,1140
Livraria,750
Restaurante,830
Supermercado,850
Farmácia,710
Roupas,1000
Eletrônicos,1150
Livraria,760
Restaurante,840
Supermercado,860
Farmácia,720
